artist,cp,section,song,type
Austin Jorgensen,"4,5,6",Chorus,Goodbye Baby,3 chord
Austin Mahone,"4,5,1",Pre-Chorus and Chorus,What About Love,3 chord
Austra,"1,5,6",Chorus,Painful Like,3 chord
Australian Crawl,"6,4,1",Pre-Chorus and Chorus,Reckless,3 chord
Avenged Sevenfold,"6,4,2",Bridge,Blinded In Chains,3 chord
Avicii,"1,5,6",Intro and Verse,Broken Arrows,3 chord
Avicii,"1,4,5",Verse,Dear Boy,3 chord
Avicii,"1,6,5",Intro,Fade Into Darkness,3 chord
Avicii,"1,5,6",Pre-Chorus and Chorus,Father Told Me,3 chord
Avicii,"1,6,4",Chorus,For A Better Day - KSHMR Remix,3 chord
Avicii,"1,5,6",Intro and Verse,Hey Brother,3 chord
Avicii,"1,5,4",Intro,Levels,3 chord
Avicii,"4,5,6",Verse,Liar Liar,3 chord
Avicii,"4,5,6",Chorus,Liar Liar - Avicii By Avicii,3 chord
Avicii,"4,5,6",Chorus,Shame On Me,3 chord
Avicii,"4,6,5",Solo,Talk To Myself,3 chord
Avicii,"1,5,6",Chorus,The Days,3 chord
Avicii,"1,5,6",Verse and Pre-Chorus,The Nights,3 chord
Avicii,"1,5,6",Chorus,The Nights FIFA 15 Soundtrack,3 chord
Avicii,"4,5,6",Chorus,Two Million,3 chord
Avicii,"4,5,6",Verse,Waiting For Love,3 chord
Avicii,"6,4,1",Chorus,Wake Me Up,3 chord
Avicii,"4,5,4",Intro,X You,3 chord
Avicii - Ezon remix ,"1,5,6",Chorus,All You Need Is Love,3 chord
Avicii vs Nicky Romero,"1,4,5",Chorus,I Could Be The One,3 chord
Avril Lavigne,"1,5,6",Chorus,Complicated,3 chord
Avril Lavigne,"1,5,6",Chorus,Girlfriend,3 chord
Avril Lavigne,"1,5,6",Intro,Sk8er Boi,3 chord
Avril Lavigne,"1,4,6",Verse,What the hell,3 chord
Avril Lavigne,"4,1,5",Bridge,When You're Gone,3 chord
Awolnation,"6,5,1",Intro,Sail,3 chord
Axis of Awesome,"1,5,6",Chorus,Four Chord Songs,3 chord
Axwell,"4,5,6",Chorus,Center Of The Universe - Blinders Remix,3 chord
Axwell and Ingrosso,"1,2,6",Intro and Verse,On My Way,3 chord
Axwell and Ingrosso,"5,4,1",Verse,Something New,3 chord
Axwell and Ingrosso,"1,4,6",Chorus,Something New ,3 chord
Axwell and Ingrosso,"1,5,1",Chorus,Sun Is Shining,3 chord
Ayaka Hirahara,"1,4,5",Verse,Jupiter,3 chord
Ayreon,"1,5,4",Chorus,Pain,3 chord
B Witched,"1,5,1",Chorus,C est La Vie,3 chord
B Witched,"5,1,4",Chorus,Rollercoaster,3 chord
B o B ft Hayley Williams,"1,6,4",Chorus,Airplanes,3 chord
B-Witched,"1,5,1",Pre-Chorus and Chorus,C'est La Vie,3 chord
BBC National Orchestra of Wales,"6,1,4",Intro,Doctor Who - Doomsday,3 chord
BESTie,"6,4,2",Chorus,Excuse Me,3 chord
BIGBANG,"6,5,2",Chorus,Bae Bae,3 chord
BORNS,"4,5,4",Chorus,Past Lives,3 chord
BOY,"1,6,5",Chorus,Little Numbers,3 chord
BRICH,"1,5,6",Instrumental,Snob,3 chord
BTS,"4,5,6",Chorus,I Need U,3 chord
Bachman-Turner Overdrive,"1,5,4",Chorus,You Ain't Seen Nothing,3 chord
Backstreet Boys,"1,6,5",Chorus,As Long As You Love Me,3 chord
Backstreet Boys,"6,5,4",Chorus,Don't Want You Back,3 chord
Backstreet Boys,"1,5,6",Chorus,Get Another Boyfriend,3 chord
Backstreet Boys,"1,6,5",Chorus,I Want It That Way,3 chord
Backstreet Boys,"1,4,1",Chorus,Shape of My Heart,3 chord
Backstreet Boys,"4,5,6",Verse,Show Me The Meaning Of Being Lonely,3 chord
Backstreet Boys,"1,5,6",Chorus,The One,3 chord
Bad Lip Reading,"4,5,4",Chorus,Kicked Your Monkey,3 chord
Bad Lip Reading,"1,5,4",Chorus,Russian Unicorn,3 chord
Bad Religion,"1,6,4",Verse,Supersonic,3 chord
Bahamas,"1,4,1",Chorus,Lost In The Light,3 chord
Bakermat,"1,5,2",Chorus,Uizicht,3 chord
Bambee,"1,5,6",Chorus,Cowgirl,3 chord
Bamse,"1,4,1",Verse,Bamse,3 chord
Band of Skulls,"6,5,2",Outro,I Know What I Am,3 chord
Banks,"1,4,5",Verse,Brain,3 chord
Barbie Young,"4,5,1",Chorus,Cartoon Heroes -Speedy Mix-,3 chord
Barden Bellas - Pitch Perfect,"5,1,6",Intro and Verse,I Saw The Sign,3 chord
Bare Naked Ladies,"1,5,1",Intro,Big Bang Theory Theme Song,3 chord
Barenaked Ladies,"1,6,4",Chorus,If I Had A Million Dollars,3 chord
Barry Manilow,"5,1,56",Bridge,I Write the Songs,3 chord
Barry Manilow,"1,6,4",Chorus,Mandy,3 chord
Barry Mann,"1,6,4",Chorus,Who Put the Bomp,3 chord
Bart Peeters,"6,2,5",Bridge,Allemaal Door Jou,3 chord
Basshunter,"1,5,6",Verse,All I Ever Wanted,3 chord
Basshunter,"1,5,6",Intro,DotA,3 chord
Basshunter,"4,5,1",Chorus,Now You're Gone,3 chord
Bastille,"4,5,6",Chorus,Bad Blood,3 chord
Bastille,"4,5,6",Pre-Chorus,Oblivion,3 chord
Bastille,"1,5,4",Chorus,Pompeii,3 chord
Bastille,"4,1,5",Instrumental,Pompeii - Audien Remix,3 chord
Bastille,"1,5,6",Verse,What Would You Do,3 chord
Bastion,"6,2,1",Verse,Setting Sail Coming Home,3 chord
Bastion Soundtrack,"6,2,1",Verse,Zulf's Theme,3 chord
Basto,"1,5,6",Chorus,Again and Again,3 chord
Basto,"6,1,3",Pre-Chorus,I Rave You,3 chord
Beach Boys,"1,4,1",Intro,Don't Worry Baby,3 chord
Beach House,"4,5,1",Verse,The Hours,3 chord
Beach House,"4,6,1",Verse,Turtle Island,3 chord
Beach House,"1,5,4",Outro,Walk in the Park,3 chord
Beach House,"1,6,3",Verse,Wishes,3 chord
Beatles,"6,5,4",Bridge,Something,3 chord
Bebe Rexha,"4,6,5",Instrumental,I Can't Stop Drinking About You - Otto Knows Remix,3 chord
Beck,"1,5,6",Verse and Pre-Chorus,Blue Moon,3 chord
Beck,"1,4,1",Verse and Pre-Chorus,Heart Is A Drum,3 chord
Beck,"4,1,5",Pre-Chorus and Chorus,Morning,3 chord
Becky G,"1,6,4",Chorus,Can't Stop Dancin',3 chord
Becky G,"1,6,5",Chorus,Shower,3 chord
Bee Gees,"1,5,4",Verse,To Love Somebody,3 chord
Bela Fleck,"1,5,1",Chorus,Big Country,3 chord
Belinda Carlisle,"1,5,4",Verse and Pre-Chorus,Heaven is a Place on Earth,3 chord
Belle and Sebastian,"6,5,4",Chorus,I'm A Cuckoo,3 chord
Belle and Sebastian,"6,3,2",Chorus,Like Dylan in the Movies,3 chord
Ben E King,"1,6,4",Verse,Stand By Me,3 chord
Ben Folds,"6,5,1",Intro and Verse,You Don't Know Me,3 chord
Ben Folds Five,"5,2,1",Instrumental,Army,3 chord
Ben Folds Five,"1,4,1",Intro,Brick,3 chord
Ben Folds Five,"1,2,4",Verse,Kate,3 chord
Ben Rector,"1,2,6",Chorus,Brand New,3 chord
Benny Benassi,"4,5,6",Chorus,Illusion,3 chord
Bent Van Looy,"1,4,1",Verse,Flowers and Balloons,3 chord
Berryz Kobo,"1,2,5",Intro,Dakishimete Dakishimete,3 chord
Bertycox,"1,2,4",Intro,The Signal,3 chord
Better off alone,"6,5,4",Intro,Alice Deejay,3 chord
Betty Who,"1,5,6",Chorus,Somebody Loves You,3 chord
Beyonce,"5,1,5",Intro,1 plus 1,3 chord
Beyonce,"1,6,2",Chorus,Drunk In Love - Meikal Remix,3 chord
Beyonce,"1,2,6",Intro,Halo,3 chord
Beyonce,"1,5,2",Chorus,Irreplaceable,3 chord
Beyonce,"1,2,6",Chorus,Pretty Hurts,3 chord
Beyonce,"4,1,5",Chorus,Rise Up,3 chord
Beyonce,"1,2,6",Chorus,Sweet Dreams,3 chord
Beyonce ,"4,1,5",Verse,Rise Up,3 chord
Beyond Less,"4,5,6",Chorus,Locked Girl Alice,3 chord
BiBi,"5,1,56",Chorus,Love Live - Natsu Owaranai De,3 chord
BiBi,"1,5,6",Verse and Pre-Chorus,Love Live - Silent tonight,3 chord
Bic Runga,"4,5,6",Verse,Sway,3 chord
Biffy Clyro,"1,4,1",Outro,All The Way Down,3 chord
Biffy Clyro,"1,4,1",Verse,God and Satan,3 chord
Biffy Clyro,"1,5,1",Bridge,Mountains,3 chord
Biffy Clyro,"1,5,6",Verse,The Captain,3 chord
Big Data,"6,4,2",Chorus,Bombs Over Brooklyn,3 chord
Big Dope P,"1,5,6",Pre-Chorus,Hit Da Blokk,3 chord
Big Giant Circles,"1,4,5",Chorus,Sevcon,3 chord
Big Shake,"1,5,4",Intro and Verse,Big Shake,3 chord
Big Star,"1,5,4",Verse,September Gurls,3 chord
Big Star,"1,4,1",Verse,Thirteen,3 chord
Bill Haley and His Comets,"1,5,4",Verse,Rock Around The Clock,3 chord
Bill Withers,"6,5,6",Chorus,Ain't No Sunshine,3 chord
Bill Withers,"1,2,3",Intro,Lean on Me,3 chord
Billie Piper,"1,4,1",Chorus,Honey To The Bee,3 chord
Billy Currington,"1,6,5",Chorus,We Are Tonight,3 chord
Billy Joel,"6,2,5",Intro,All for Leyna,3 chord
Billy Joel,"1,6,1",Intro,Big Shot,3 chord
Billy Joel,"4,5,1",Verse,Goodnight Saigon,3 chord
